Date,Open,High,Low,Close,Volume,volume_outlier,volume_zero_flag,days_since_prev,gap_flag
2016-01-04,4579.986656825823,4603.644915066748,4525.74267578125,4525.74267578125,21276600,False,False,,False
2016-01-05,4527.255088090763,4594.1621540540245,4526.827858611902,4557.64453125,24364900,False,False,1.0,False
2016-01-06,4563.475888273048,4639.05594937803,4562.395363994167,4608.80224609375,29976300,False,False,1.0,False
2016-01-07,4573.51442606939,4577.457631592157,4530.271484375,4530.271484375,24018600,False,False,1.0,False
2016-01-08,4524.686868162836,4550.730289159711,4507.238816093556,4546.111328125,23991300,False,False,1.0,False
2016-01-11,4515.32617790567,4517.762118234232,4459.613502970784,4465.30908203125,19983800,False,False,3.0,False
2016-01-12,4487.373528924541,4526.022418142029,4486.470731964574,4512.3515625,23702200,False,False,1.0,False
2016-01-13,4535.702199093851,4559.332137866241,4533.504530806916,4537.00244140625,26689000,False,False,1.0,False
2016-01-14,4492.608702417175,4526.333954969919,4456.296148015968,4513.005859375,36253200,False,False,1.0,False
2016-01-15,4518.804882126796,4541.924098475707,4515.955872044517,4523.7998046875,2249218200,True,False,1.0,False
2016-01-18,4491.1470701637645,4503.687597957881,4471.069237917159,4481.1015625,21081300,False,False,3.0,False
2016-01-19,4486.412798596449,4499.399596445884,4464.553788410669,4491.5615234375,23042100,False,False,1.0,False
2016-01-20,4476.973672220296,4490.943343260907,4427.8125,4427.8125,26395500,False,False,1.0,False
2016-01-21,4447.577792289293,4462.854052915587,4408.632531435419,4413.9541015625,24323700,False,False,1.0,False
2016-01-22,4446.248936628682,4456.57080078125,4420.884200542508,4456.57080078125,27603800,False,False,1.0,False
2016-01-25,4483.431527035004,4519.420361247611,4465.033317044702,4505.61279296875,28197300,False,False,3.0,False
2016-01-26,4489.5183855122805,4517.1926029198,4483.112872744425,4510.29248046875,22989000,False,False,1.0,False
2016-01-27,4526.039347814081,4583.44921875,4526.039347814081,4583.44921875,36625500,False,False,1.0,False
2016-01-28,4582.538866824373,4608.219022063362,4579.324147894941,4602.650390625,31734400,False,False,1.0,False
2016-01-29,4611.758426347719,4618.63706477328,4568.261096508177,4614.9833984375,35913800,False,False,1.0,False
2016-02-01,4619.97185434169,4625.248015961912,4559.70857729058,4624.45458984375,26818600,False,False,3.0,False
2016-02-02,4598.763711850839,4617.793243933319,4586.120161451192,4587.25634765625,30581900,False,False,1.0,False
2016-02-03,4552.949913420482,4595.92919921875,4544.963407566437,4595.92919921875,23645400,False,False,1.0,False
2016-02-04,4606.865074853732,4668.92955961116,4606.865074853732,4665.6357421875,32515500,False,False,1.0,False
2016-02-05,4674.4237907533225,4798.7587890625,4673.805650780264,4798.7587890625,37635400,False,False,1.0,False
2016-02-09,4773.581342890383,4779.619193886369,4736.384548083961,4768.439453125,22997900,False,False,4.0,False
2016-02-10,4748.350936412516,4782.753403232439,4725.8234947210685,4732.29833984375,28910100,False,False,1.0,False
2016-02-11,4723.811585309136,4785.988857066834,4723.811585309136,4775.67431640625,36960300,False,False,1.0,False
2016-02-12,4757.52419653031,4771.155503011808,4710.355130194917,4714.2099609375,26882200,False,False,1.0,False
2016-02-15,4749.598280192018,4761.518714514124,4729.641049403054,4740.54150390625,32930700,False,False,3.0,False
2016-02-16,4745.807578745513,4769.820316541003,4726.407942753434,4744.8193359375,37203200,False,False,1.0,False
2016-02-17,4738.2334765906535,4774.272112420118,4737.232539001568,4765.3212890625,43118200,False,False,1.0,False
2016-02-18,4783.858194595045,4803.422376350684,4760.051990051389,4778.6083984375,47306600,False,False,1.0,False
2016-02-19,4744.060191989054,4758.991250595938,4679.960639831751,4697.376953125,34015700,False,False,1.0,False
2016-02-22,4701.226354632557,4715.436739507731,4682.199750804361,4708.43701171875,26863900,False,False,3.0,False
2016-02-23,4715.018615998066,4722.199000563579,4628.72558824164,4653.873046875,35293100,False,False,1.0,False
2016-02-24,4643.643606937862,4673.638045790392,4627.464060450645,4657.541015625,26851200,False,False,1.0,False
2016-02-25,4681.809138196477,4686.382690802517,4652.680876445804,4658.14208984375,31829200,False,False,1.0,False
2016-02-26,4695.633779990538,4736.342153433046,4691.241861417417,4732.96435546875,27831900,False,False,1.0,False
2016-02-29,4738.109668697015,4774.331404476813,4722.80948250849,4770.7705078125,26304100,False,False,3.0,False
2016-03-01,4760.051059575693,4781.073192736936,4758.697108228436,4779.79931640625,32028500,False,False,1.0,False
2016-03-02,4808.675381630151,4840.558416377604,4808.059682969887,4836.00732421875,34594900,False,False,1.0,False
2016-03-03,4848.716607026188,4868.064973315199,4812.670161682043,4843.85009765625,38870000,False,False,1.0,False
2016-03-04,4844.298100716818,4860.449815256584,4802.187924765124,4850.69384765625,45127100,False,False,1.0,False
2016-03-07,4860.01890547776,4870.086384847961,4821.273342747127,4831.38720703125,45624500,False,False,3.0,False
2016-03-08,4830.862991762518,4842.478751162164,4775.886124964618,4810.85498046875,40452100,False,False,1.0,False
2016-03-10,4791.497129579514,4798.196575214847,4761.195089234467,4793.01611328125,33233700,False,False,2.0,False
2016-03-11,4784.051443611655,4813.59130859375,4776.812956035463,4813.59130859375,31534700,False,False,1.0,False
2016-03-14,4838.841343059792,4878.005833476967,4835.084653421462,4877.3408203125,44561400,False,False,3.0,False
2016-03-15,4880.684823613261,4884.07971086238,4843.73216191503,4849.591796875,44545000,False,False,1.0,False
2016-03-16,4848.41846760865,4861.251953125,4837.394970328835,4861.251953125,42292200,False,False,1.0,False
2016-03-17,4882.983984462019,4900.222572062078,4869.621710999978,4885.498046875,49838900,False,False,1.0,False
2016-03-18,4889.7058918713055,4908.06894747528,4858.396073992478,4885.51806640625,51103000,False,False,1.0,False
2016-03-21,4871.056693454256,4905.123239945484,4865.052044119301,4884.97314453125,37618600,False,False,3.0,False
2016-03-22,4870.705479241286,4886.23368356521,4833.516008476253,4855.91796875,36051400,False,False,1.0,False
2016-03-23,4849.981112972572,4853.98681640625,4822.148212127454,4853.98681640625,42812300,False,False,1.0,False
2016-03-24,4836.435176460102,4849.706633589096,4817.533078677287,4826.8994140625,34571400,False,False,1.0,False
2016-03-28,4809.000082615863,4813.730855758745,4757.614872962649,4773.4404296875,29163800,False,False,4.0,False
2016-03-29,4767.3472138495845,4786.027152975121,4759.898284179994,4781.111328125,33131800,False,False,1.0,False
2016-03-30,4796.967067716682,4832.930023185443,4792.070285687001,4816.46728515625,38235200,False,False,1.0,False
2016-03-31,4826.915751461553,4845.18212890625,4808.076642447461,4845.18212890625,50891800,False,False,1.0,False
2016-04-01,4843.205070009234,4844.169876114273,4819.745047876176,4842.9970703125,30942800,False,False,1.0,False
