Price,Close,High,Low,Open,Volume
Ticker,^JKSE,^JKSE,^JKSE,^JKSE,^JKSE
Date,,,,,
2016-01-04,4525.74267578125,4603.644915066748,4525.74267578125,4579.986656825823,21276600
2016-01-05,4557.64453125,4594.1621540540245,4526.827858611902,4527.255088090763,24364900
2016-01-06,4608.80224609375,4639.05594937803,4562.3953639941665,4563.475888273048,29976300
2016-01-07,4530.271484375,4577.457631592157,4530.271484375,4573.51442606939,24018600
2016-01-08,4546.111328125,4550.730289159711,4507.238816093556,4524.686868162836,23991300
2016-01-11,4465.30908203125,4517.762118234232,4459.613502970784,4515.32617790567,19983800
2016-01-12,4512.3515625,4526.022418142029,4486.470731964574,4487.373528924541,23702200
2016-01-13,4537.00244140625,4559.332137866241,4533.504530806916,4535.702199093851,26689000
2016-01-14,4513.005859375,4526.333954969919,4456.296148015968,4492.608702417175,36253200
2016-01-15,4523.7998046875,4541.924098475707,4515.955872044517,4518.804882126796,2249218200
2016-01-18,4481.1015625,4503.687597957881,4471.069237917159,4491.1470701637645,21081300
2016-01-19,4491.5615234375,4499.399596445884,4464.553788410669,4486.412798596449,23042100
2016-01-20,4427.8125,4490.943343260907,4427.8125,4476.973672220296,26395500
2016-01-21,4413.9541015625,4462.854052915587,4408.632531435419,4447.577792289293,24323700
2016-01-22,4456.57080078125,4456.57080078125,4420.884200542508,4446.248936628682,27603800
2016-01-25,4505.61279296875,4519.420361247611,4465.033317044702,4483.431527035004,28197300
2016-01-26,4510.29248046875,4517.1926029198,4483.112872744425,4489.5183855122805,22989000
2016-01-27,4583.44921875,4583.44921875,4526.039347814081,4526.039347814081,36625500
2016-01-28,4602.650390625,4608.219022063362,4579.324147894941,4582.538866824373,31734400
2016-01-29,4614.9833984375,4618.63706477328,4568.261096508177,4611.758426347719,35913800
2016-02-01,4624.45458984375,4625.248015961912,4559.70857729058,4619.97185434169,26818600
2016-02-02,4587.25634765625,4617.793243933319,4586.120161451192,4598.763711850839,30581900
2016-02-03,4595.92919921875,4595.92919921875,4544.963407566437,4552.949913420482,23645400
2016-02-04,4665.6357421875,4668.92955961116,4606.865074853732,4606.865074853732,32515500
2016-02-05,4798.7587890625,4798.7587890625,4673.805650780264,4674.4237907533225,37635400
2016-02-09,4768.439453125,4779.619193886369,4736.384548083961,4773.581342890383,22997900
2016-02-10,4732.29833984375,4782.753403232439,4725.8234947210685,4748.350936412516,28910100
2016-02-11,4775.67431640625,4785.988857066834,4723.811585309136,4723.811585309136,36960300
2016-02-12,4714.2099609375,4771.155503011808,4710.355130194917,4757.52419653031,26882200
2016-02-15,4740.54150390625,4761.518714514124,4729.641049403054,4749.598280192018,32930700
2016-02-16,4744.8193359375,4769.820316541003,4726.407942753434,4745.807578745513,37203200
2016-02-17,4765.3212890625,4774.272112420118,4737.232539001568,4738.2334765906535,43118200
2016-02-18,4778.6083984375,4803.422376350684,4760.051990051389,4783.858194595045,47306600
2016-02-19,4697.376953125,4758.991250595938,4679.960639831751,4744.060191989054,34015700
2016-02-22,4708.43701171875,4715.436739507731,4682.199750804361,4701.226354632557,26863900
2016-02-23,4653.873046875,4722.199000563579,4628.72558824164,4715.018615998066,35293100
2016-02-24,4657.541015625,4673.6380457903915,4627.464060450645,4643.643606937862,26851200
2016-02-25,4658.14208984375,4686.382690802517,4652.680876445804,4681.809138196477,31829200
2016-02-26,4732.96435546875,4736.342153433046,4691.241861417417,4695.633779990538,27831900
2016-02-29,4770.7705078125,4774.331404476813,4722.80948250849,4738.109668697015,26304100
2016-03-01,4779.79931640625,4781.073192736936,4758.697108228436,4760.051059575693,32028500
2016-03-02,4836.00732421875,4840.558416377604,4808.059682969887,4808.675381630151,34594900
2016-03-03,4843.85009765625,4868.064973315199,4812.670161682043,4848.716607026188,38870000
2016-03-04,4850.69384765625,4860.449815256584,4802.187924765124,4844.298100716818,45127100
2016-03-07,4831.38720703125,4870.086384847961,4821.273342747127,4860.01890547776,45624500
2016-03-08,4810.85498046875,4842.478751162164,4775.886124964618,4830.862991762518,40452100
2016-03-10,4793.01611328125,4798.196575214847,4761.195089234467,4791.497129579514,33233700
2016-03-11,4813.59130859375,4813.59130859375,4776.812956035463,4784.051443611655,31534700
2016-03-14,4877.3408203125,4878.0058334769665,4835.084653421462,4838.841343059792,44561400
2016-03-15,4849.591796875,4884.07971086238,4843.73216191503,4880.684823613261,44545000
2016-03-16,4861.251953125,4861.251953125,4837.394970328835,4848.41846760865,42292200
2016-03-17,4885.498046875,4900.222572062078,4869.621710999978,4882.983984462019,49838900
2016-03-18,4885.51806640625,4908.06894747528,4858.396073992478,4889.7058918713055,51103000
2016-03-21,4884.97314453125,4905.123239945484,4865.052044119301,4871.056693454256,37618600
2016-03-22,4855.91796875,4886.23368356521,4833.516008476253,4870.705479241286,36051400
2016-03-23,4853.98681640625,4853.98681640625,4822.148212127454,4849.981112972572,42812300
2016-03-24,4826.8994140625,4849.706633589096,4817.5330786772865,4836.435176460102,34571400
2016-03-28,4773.4404296875,4813.730855758745,4757.614872962649,4809.000082615863,29163800
2016-03-29,4781.111328125,4786.027152975121,4759.898284179994,4767.3472138495845,33131800
2016-03-30,4816.46728515625,4832.930023185443,4792.070285687001,4796.967067716682,38235200
2016-03-31,4845.18212890625,4845.18212890625,4808.076642447461,4826.915751461553,50891800
2016-04-01,4842.9970703125,4844.169876114273,4819.745047876176,4843.205070009234,30942800
2016-04-04,4849.98681640625,4864.7474717713885,4838.790475293552,4839.958398539008,37038800
2016-04-05,4857.8828125,4883.493144418925,4842.973724473912,4848.658561935439,33922100
2016-04-06,4868.04052734375,4878.810127746515,4861.389907264589,4862.87178318708,47514100
2016-04-07,4867.095703125,4900.275075670711,4858.310888826468,4884.644824707805,49260900
2016-04-08,4846.51513671875,4862.615583183689,4829.256532285204,4839.4641421046435,42326600
2016-04-11,4786.78759765625,4843.441151795188,4766.629203466937,4833.166649810842,33211700
2016-04-12,4829.38525390625,4829.38525390625,4776.795992398073,4788.235488511373,37252800
2016-04-13,4852.81591796875,4856.40269236507,4831.386088366999,4846.789297171885,67431700
2016-04-14,4814.65869140625,4873.23844135163,4814.65869140625,4872.03633972826,44628800
2016-04-15,4823.38037109375,4838.828012782721,4792.952842970186,4834.712938373636,36074500
2016-04-18,4865.34521484375,4865.34521484375,4800.077730232323,4812.3912168333245,3041610200
2016-04-19,4881.740234375,4886.308904270955,4864.701834814325,4875.308355723786,44507100
2016-04-20,4876.40625,4882.948963904071,4857.5329616979125,4876.063978175615,44144900
2016-04-21,4902.89892578125,4906.637061468944,4884.652565978594,4884.731664461014,38051900
2016-04-22,4914.54541015625,4917.397349863323,4883.69163134617,4898.535291513049,39258200
2016-04-25,4878.671875,4920.211273370972,4863.1456240150155,4920.211273370972,42334500
2016-04-26,4813.9052734375,4866.195228948725,4788.188501659657,4865.960374814965,38074400
2016-04-27,4845.46923828125,4845.46923828125,4803.02167491214,4807.498551103032,47033900
2016-04-28,4848.201171875,4876.980811870459,4830.498736850054,4861.760701968716,47575300
2016-04-29,4838.39453125,4839.436482848942,4818.667272368994,4839.177703867012,37300400
2016-05-02,4808.1318359375,4835.334879440842,4770.371585867958,4828.775075989871,31240600
2016-05-03,4812.0771484375,4833.803354873349,4805.8439922391035,4818.786848615971,3420718900
2016-05-04,4822.40771484375,4822.40771484375,4765.22487957541,4808.466850628392,37196200
2016-05-09,4749.13037109375,4812.703095714412,4745.316554470258,4808.334124885195,32668900
2016-05-10,4762.9296875,4766.52818012797,4728.354862537751,4749.337931830422,31662200
2016-05-11,4799.77685546875,4811.411656053081,4770.181328899501,4780.951905343739,27307500
2016-05-12,4803.134765625,4824.9962191292225,4792.021428795376,4795.550099999088,30551600
2016-05-13,4761.529296875,4802.816750488964,4745.724248702294,4801.004809377784,34288500
2016-05-16,4731.37744140625,4748.632627659065,4720.059035279297,4745.289008093155,29534000
2016-05-17,4728.9716796875,4744.963244692808,4717.0761466445,4736.981621795221,34494500
2016-05-18,4734.17236328125,4742.886867280476,4713.532054699937,4721.711911574603,36940600
2016-05-19,4704.03369140625,4739.1397467709,4691.388187541311,4733.287923773051,30558600
2016-05-20,4711.69482421875,4722.095298942669,4690.375828496932,4698.785169662607,29906000
2016-05-23,4743.4775390625,4743.4775390625,4714.493315285933,4714.493315285933,27747200
2016-05-24,4710.60205078125,4750.175219566742,4710.60205078125,4737.978916304607,33466000
2016-05-25,4772.79150390625,4772.79150390625,4733.367743574223,4733.703179752568,36892200
2016-05-26,4784.37841796875,4784.473629100606,4761.274338234013,4777.380643908473,30609400
2016-05-27,4814.54345703125,4814.54345703125,4778.35394844491,4782.26199937281,3112906900
2016-05-30,4835.8447265625,4844.935192575001,4816.882086723233,4818.866384385431,36790900
2016-05-31,4796.68212890625,4836.183518524475,4792.014342142632,4833.529325130435,42407700
2016-06-01,4839.4794921875,4851.552264193326,4800.52104851101,4801.666023450493,27373000
2016-06-02,4833.037109375,4860.673729719391,4833.037109375,4836.3167669640125,28193100
2016-06-03,4853.73291015625,4861.1105526184165,4838.89462065094,4845.234217588648,2607634700
2016-06-06,4895.83447265625,4895.83447265625,4860.438876756568,4862.378742709273,31677400
2016-06-07,4933.796875,4933.796875,4907.315971351487,4908.054223887978,42211700
2016-06-08,4915.86962890625,4939.905802399264,4892.437435802666,4927.902363519922,37066100
2016-06-09,4876.60400390625,4918.972470862116,4876.60400390625,4912.816460635786,43300300
2016-06-10,4847.8671875,4887.397384935081,4847.8671875,4882.084603740542,77424800
2016-06-13,4807.0390625,4837.831809859969,4807.0390625,4837.831809859969,67373300
2016-06-14,4821.40234375,4833.209013505484,4792.3487861167205,4797.433549312354,62010100
2016-06-15,4814.63671875,4814.63671875,4788.89943980611,4811.038714338528,53712900
2016-06-16,4814.20361328125,4829.26308534995,4801.6850578758285,4819.047174637847,39908400
2016-06-17,4834.955078125,4837.841684640618,4806.408336490681,4825.539428590635,42528600
2016-06-20,4863.341796875,4863.341796875,4828.400283431587,4849.502490850377,43916600
